timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1687624338686,61,00AsappShopping-UI,200,OK,Thread Group 1-1,text,false,"The operation lasted too long: It took 61 milliseconds, but should not have lasted longer than 4 milliseconds.",2059,116,1,1,http://localhost:3000/,61,0,46
1687624338818,31,01Login,200,OK,Thread Group 1-1,text,false,"The operation lasted too long: It took 31 milliseconds, but should not have lasted longer than 11 milliseconds.",183,240,1,1,http://localhost:5000/users/login,30,0,3
1687624338850,10,02GetProducts,200,OK,Thread Group 1-1,text,false,,791,132,1,1,http://localhost:5000/intuser/products,9,0,1
1687624338901,7,03GetSpecificProducts,200,OK,Thread Group 1-1,text,false,,366,145,1,1,http://localhost:5000/intuser/products/ASAPP%20Pens,6,0,1
1687624338911,16,04AddProductToCart,200,OK,Thread Group 1-1,text,false,"The operation lasted too long: It took 16 milliseconds, but should not have lasted longer than 9 milliseconds.",216,229,1,1,http://localhost:5000/intuser/products/ASAPP%20Pens/add,16,0,1
1687624338928,5,05GetCartInfo,200,OK,Thread Group 1-1,text,false,,277,137,1,1,http://localhost:5000/intuser/products/cart,4,0,1
1687624338935,14,06RemoveProductFromCart,200,OK,Thread Group 1-1,text,false,"The operation lasted too long: It took 14 milliseconds, but should not have lasted longer than 12 milliseconds.",208,237,1,1,http://localhost:5000/intuser/products/cart/ASAPP%20Pens/remove,14,0,1
1687624338950,5,07GetEmptyCartInfo,200,OK,Thread Group 1-1,text,false,"The operation lasted too long: It took 5 milliseconds, but should not have lasted longer than 4 milliseconds.",168,137,1,1,http://localhost:5000/intuser/products/cart,4,0,1
1687624338956,13,08Logout,200,OK,Thread Group 1-1,text,false,"The operation lasted too long: It took 13 milliseconds, but should not have lasted longer than 9 milliseconds.",184,214,1,1,http://localhost:5000/users/logout,13,0,4
1687624338970,7,00AsappShopping-UI,200,OK,Thread Group 1-1,text,false,"The operation lasted too long: It took 7 milliseconds, but should not have lasted longer than 4 milliseconds.",2059,116,1,1,http://localhost:3000/,6,0,0
1687624338982,11,01Login,200,OK,Thread Group 1-1,text,true,,183,240,1,1,http://localhost:5000/users/login,11,0,1
1687624338994,7,02GetProducts,200,OK,Thread Group 1-1,text,false,,791,132,1,1,http://localhost:5000/intuser/products,6,0,1
1687624339002,8,03GetSpecificProducts,200,OK,Thread Group 1-1,text,false,,314,149,1,1,http://localhost:5000/intuser/products/ASAPP%20Stickers,8,0,0
1687624339012,8,04AddProductToCart,200,OK,Thread Group 1-1,text,true,,220,233,1,1,http://localhost:5000/intuser/products/ASAPP%20Stickers/add,8,0,1
1687624339021,9,05GetCartInfo,200,OK,Thread Group 1-1,text,false,,281,137,1,1,http://localhost:5000/intuser/products/cart,9,0,2
1687624339031,14,06RemoveProductFromCart,200,OK,Thread Group 1-1,text,false,"The operation lasted too long: It took 14 milliseconds, but should not have lasted longer than 12 milliseconds.",212,241,1,1,http://localhost:5000/intuser/products/cart/ASAPP%20Stickers/remove,13,0,1
1687624339045,6,07GetEmptyCartInfo,200,OK,Thread Group 1-1,text,false,"The operation lasted too long: It took 6 milliseconds, but should not have lasted longer than 4 milliseconds.",168,137,1,1,http://localhost:5000/intuser/products/cart,5,0,2
1687624339052,12,08Logout,200,OK,Thread Group 1-1,text,false,"The operation lasted too long: It took 12 milliseconds, but should not have lasted longer than 9 milliseconds.",184,214,1,1,http://localhost:5000/users/logout,12,0,1
1687624339065,3,00AsappShopping-UI,200,OK,Thread Group 1-1,text,true,,2059,116,1,1,http://localhost:3000/,3,0,0
1687624339070,14,01Login,200,OK,Thread Group 1-1,text,false,"The operation lasted too long: It took 14 milliseconds, but should not have lasted longer than 11 milliseconds.",183,240,1,1,http://localhost:5000/users/login,14,0,2
1687624339085,10,02GetProducts,200,OK,Thread Group 1-1,text,false,,791,132,1,1,http://localhost:5000/intuser/products,10,0,1
1687624339097,6,03GetSpecificProducts,200,OK,Thread Group 1-1,text,false,,375,155,1,1,http://localhost:5000/intuser/products/ASAPP%20Water%20Bottle,6,0,1
1687624339104,14,04AddProductToCart,200,OK,Thread Group 1-1,text,false,"The operation lasted too long: It took 14 milliseconds, but should not have lasted longer than 9 milliseconds.",224,239,1,1,http://localhost:5000/intuser/products/ASAPP%20Water%20Bottle/add,13,0,2
1687624339118,8,05GetCartInfo,200,OK,Thread Group 1-1,text,false,,285,137,1,1,http://localhost:5000/intuser/products/cart,8,0,1
1687624339128,13,06RemoveProductFromCart,200,OK,Thread Group 1-1,text,false,"The operation lasted too long: It took 13 milliseconds, but should not have lasted longer than 12 milliseconds.",216,247,1,1,http://localhost:5000/intuser/products/cart/ASAPP%20Water%20Bottle/remove,12,0,1
